Fib,1591945924.9648576,1591945924.9652424,0.0003848075866699219
Fib,1591945924.9652526,1591945924.9656053,0.00035262107849121094
Fib 1,1591945924.9648576,1591945924.9648736,1.5974044799804688e-05
Fib 1,1591945924.9648576,1591945924.9648879,3.0279159545898438e-05
Fib 1,1591945924.9648576,1591945924.9648986,4.100799560546875e-05
Fib 1,1591945924.9648576,1591945924.9649093,5.173683166503906e-05
Fib 1,1591945924.9648576,1591945924.9649222,6.461143493652344e-05
Fib 2,1591945924.9648576,1591945924.96494,8.249282836914062e-05
Fib 2,1591945924.9648576,1591945924.9649646,0.00010704994201660156
Fib 2,1591945924.9648576,1591945924.9649966,0.00013899803161621094
Fib 2,1591945924.9648576,1591945924.965046,0.00018835067749023438
Fib 2,1591945924.9648576,1591945924.9651198,0.00026226043701171875
Fib 2,1591945924.9648576,1591945924.9652345,0.0003769397735595703
Fib 3,1591945924.9652526,1591945924.9652598,7.152557373046875e-06
Fib 3,1591945924.9652526,1591945924.965267,1.430511474609375e-05
Fib 3,1591945924.9652526,1591945924.9652753,2.2649765014648438e-05
Fib 3,1591945924.9652526,1591945924.9652853,3.266334533691406e-05
Fib 3,1591945924.9652526,1591945924.9652977,4.506111145019531e-05
Fib 3,1591945924.9652526,1591945924.9653134,6.079673767089844e-05
Fib 3,1591945924.9652526,1591945924.9653358,8.320808410644531e-05
Fib 3,1591945924.9652526,1591945924.965368,0.00011539459228515625
Fib 3,1591945924.9652526,1591945924.9654148,0.0001621246337890625
Fib 3,1591945924.9652526,1591945924.9654868,0.00023412704467773438
Fib 3,1591945924.9652526,1591945924.9655988,0.00034618377685546875
